Sample Name, Sample-161
Time, February 05 19:17:27 2026
Operator, dma
Lamp, 0
Slit,0.0
Scan From, 700.0nm
Scan To, 230.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
230.0, -0.0452, 110.98
231.0, -0.0449, 110.88
232.0, -0.0444, 110.75
233.0, -0.0437, 110.58
234.0, -0.0431, 110.42
235.0, -0.0423, 110.23
236.0, -0.0415, 110.03
237.0, -0.0409, 109.87
238.0, -0.0402, 109.70
239.0, -0.0395, 109.53
240.0, -0.0389, 109.38
241.0, -0.0384, 109.24
242.0, -0.0377, 109.07
243.0, -0.0371, 108.91
244.0, -0.0365, 108.78
245.0, -0.0359, 108.62
246.0, -0.0350, 108.39
247.0, -0.0343, 108.23
248.0, -0.0339, 108.12
249.0, -0.0335, 108.01
250.0, -0.0328, 107.86
251.0, -0.0323, 107.72
252.0, -0.0319, 107.62
253.0, -0.0315, 107.52
254.0, -0.0310, 107.41
255.0, -0.0307, 107.33
256.0, -0.0302, 107.21
257.0, -0.0299, 107.12
258.0, -0.0296, 107.06
259.0, -0.0291, 106.93
260.0, -0.0287, 106.83
261.0, -0.0282, 106.70
262.0, -0.0278, 106.61
263.0, -0.0274, 106.51
264.0, -0.0271, 106.43
265.0, -0.0267, 106.33
266.0, -0.0263, 106.24
267.0, -0.0260, 106.17
268.0, -0.0257, 106.10
269.0, -0.0254, 106.02
270.0, -0.0249, 105.91
271.0, -0.0244, 105.77
272.0, -0.0243, 105.75
273.0, -0.0238, 105.64
274.0, -0.0236, 105.57
275.0, -0.0231, 105.47
276.0, -0.0230, 105.43
277.0, -0.0229, 105.40
278.0, -0.0224, 105.30
279.0, -0.0221, 105.21
280.0, -0.0216, 105.11
281.0, -0.0214, 105.05
282.0, -0.0210, 104.95
283.0, -0.0208, 104.90
284.0, -0.0205, 104.82
285.0, -0.0202, 104.75
286.0, -0.0197, 104.65
287.0, -0.0195, 104.59
288.0, -0.0190, 104.47
289.0, -0.0187, 104.41
290.0, -0.0184, 104.33
291.0, -0.0183, 104.30
292.0, -0.0181, 104.25
293.0, -0.0180, 104.22
294.0, -0.0177, 104.17
295.0, -0.0173, 104.07
296.0, -0.0171, 104.02
297.0, -0.0166, 103.91
298.0, -0.0165, 103.88
299.0, -0.0162, 103.80
300.0, -0.0160, 103.74
301.0, -0.0156, 103.65
302.0, -0.0154, 103.60
303.0, -0.0151, 103.53
304.0, -0.0147, 103.43
305.0, -0.0145, 103.40
306.0, -0.0143, 103.35
307.0, -0.0141, 103.29
308.0, -0.0137, 103.21
309.0, -0.0134, 103.14
310.0, -0.0132, 103.09
311.0, -0.0130, 103.05
312.0, -0.0127, 102.96
313.0, -0.0124, 102.89
314.0, -0.0121, 102.83
315.0, -0.0118, 102.75
316.0, -0.0117, 102.73
317.0, -0.0112, 102.61
318.0, -0.0110, 102.56
319.0, -0.0106, 102.47
320.0, -0.0105, 102.44
321.0, -0.0102, 102.37
322.0, -0.0098, 102.29
323.0, -0.0095, 102.22
324.0, -0.0095, 102.20
325.0, -0.0093, 102.16
326.0, -0.0091, 102.11
327.0, -0.0088, 102.06
328.0, -0.0086, 102.01
329.0, -0.0083, 101.93
330.0, -0.0081, 101.89
331.0, -0.0077, 101.79
332.0, -0.0075, 101.75
333.0, -0.0073, 101.69
334.0, -0.0069, 101.61
335.0, -0.0066, 101.52
336.0, -0.0064, 101.48
337.0, -0.0061, 101.41
338.0, -0.0060, 101.40
339.0, -0.0058, 101.34
340.0, 0.0054, 98.77
341.0, 0.0049, 98.87
342.0, 0.0048, 98.91
343.0, 0.0047, 98.93
344.0, 0.0044, 98.99
345.0, 0.0042, 99.03
346.0, 0.0037, 99.16
347.0, 0.0037, 99.16
348.0, 0.0038, 99.13
349.0, 0.0031, 99.30
350.0, 0.0030, 99.32
351.0, 0.0031, 99.30
352.0, 0.0030, 99.30
353.0, 0.0026, 99.41
354.0, 0.0022, 99.50
355.0, 0.0024, 99.46
356.0, 0.0026, 99.39
357.0, 0.0026, 99.41
358.0, 0.0027, 99.39
359.0, 0.0028, 99.36
360.0, 0.0030, 99.32
361.0, 0.0031, 99.29
362.0, 0.0033, 99.25
363.0, 0.0034, 99.21
364.0, 0.0036, 99.18
365.0, 0.0041, 99.06
366.0, 0.0043, 99.02
367.0, 0.0050, 98.85
368.0, 0.0058, 98.68
369.0, 0.0064, 98.53
370.0, 0.0070, 98.40
371.0, 0.0002, 99.95
372.0, 0.0001, 99.97
373.0, -0.0001, 100.03
374.0, -0.0004, 100.10
375.0, -0.0007, 100.17
376.0, -0.0010, 100.23
377.0, -0.0013, 100.30
378.0, -0.0016, 100.37
379.0, -0.0018, 100.43
380.0, -0.0023, 100.52
381.0, -0.0023, 100.53
382.0, -0.0024, 100.56
383.0, -0.0027, 100.63
384.0, -0.0029, 100.66
385.0, -0.0031, 100.72
386.0, -0.0031, 100.73
387.0, -0.0035, 100.81
388.0, -0.0037, 100.85
389.0, -0.0038, 100.88
390.0, -0.0039, 100.91
391.0, -0.0039, 100.89
392.0, -0.0040, 100.92
393.0, -0.0042, 100.97
394.0, -0.0042, 100.97
395.0, -0.0044, 101.01
396.0, -0.0045, 101.04
397.0, -0.0045, 101.05
398.0, -0.0045, 101.03
399.0, -0.0046, 101.06
400.0, -0.0046, 101.07
401.0, -0.0045, 101.04
402.0, -0.0047, 101.08
403.0, -0.0046, 101.07
404.0, -0.0048, 101.11
405.0, -0.0047, 101.09
406.0, -0.0048, 101.11
407.0, -0.0047, 101.10
408.0, -0.0048, 101.10
409.0, -0.0047, 101.08
410.0, -0.0047, 101.10
411.0, -0.0049, 101.14
412.0, -0.0049, 101.15
413.0, -0.0049, 101.14
414.0, -0.0050, 101.16
415.0, -0.0049, 101.14
416.0, -0.0049, 101.14
417.0, -0.0048, 101.10
418.0, -0.0047, 101.10
419.0, -0.0048, 101.11
420.0, -0.0047, 101.09
421.0, -0.0047, 101.09
422.0, -0.0046, 101.06
423.0, -0.0045, 101.04
424.0, -0.0044, 101.03
425.0, -0.0044, 101.01
426.0, -0.0043, 101.00
427.0, -0.0042, 100.98
428.0, -0.0042, 100.97
429.0, -0.0041, 100.95
430.0, -0.0041, 100.94
431.0, -0.0041, 100.95
432.0, -0.0040, 100.92
433.0, -0.0040, 100.92
434.0, -0.0039, 100.90
435.0, -0.0038, 100.88
436.0, -0.0037, 100.84
437.0, -0.0035, 100.81
438.0, -0.0034, 100.78
439.0, -0.0032, 100.75
440.0, -0.0030, 100.69
441.0, -0.0028, 100.64
442.0, -0.0027, 100.62
443.0, -0.0024, 100.56
444.0, -0.0021, 100.49
445.0, -0.0021, 100.48
446.0, -0.0016, 100.38
447.0, -0.0015, 100.35
448.0, -0.0013, 100.29
449.0, -0.0009, 100.20
450.0, -0.0007, 100.17
451.0, -0.0012, 100.28
452.0, -0.0014, 100.33
453.0, -0.0013, 100.31
454.0, -0.0014, 100.32
455.0, -0.0015, 100.35
456.0, -0.0016, 100.36
457.0, -0.0017, 100.40
458.0, -0.0020, 100.46
459.0, -0.0020, 100.46
460.0, -0.0021, 100.49
461.0, -0.0022, 100.51
462.0, -0.0021, 100.48
463.0, -0.0022, 100.52
464.0, -0.0023, 100.53
465.0, -0.0023, 100.54
466.0, -0.0024, 100.55
467.0, -0.0025, 100.57
468.0, -0.0024, 100.56
469.0, -0.0024, 100.56
470.0, -0.0025, 100.57
471.0, -0.0024, 100.55
472.0, -0.0024, 100.55
473.0, -0.0024, 100.56
474.0, -0.0025, 100.58
475.0, -0.0024, 100.55
476.0, -0.0024, 100.57
477.0, -0.0024, 100.54
478.0, -0.0024, 100.55
479.0, -0.0024, 100.56
480.0, -0.0025, 100.57
481.0, -0.0026, 100.61
482.0, -0.0024, 100.56
483.0, -0.0026, 100.60
484.0, -0.0026, 100.60
485.0, -0.0028, 100.65
486.0, -0.0026, 100.61
487.0, -0.0028, 100.64
488.0, -0.0027, 100.62
489.0, -0.0028, 100.64
490.0, -0.0025, 100.58
491.0, -0.0025, 100.57
492.0, -0.0026, 100.60
493.0, -0.0027, 100.62
494.0, -0.0026, 100.60
495.0, -0.0027, 100.62
496.0, -0.0027, 100.62
497.0, -0.0027, 100.63
498.0, -0.0028, 100.64
499.0, -0.0029, 100.67
500.0, -0.0029, 100.66
501.0, -0.0028, 100.65
502.0, -0.0029, 100.66
503.0, -0.0030, 100.69
504.0, -0.0028, 100.65
505.0, -0.0027, 100.63
506.0, -0.0028, 100.65
507.0, -0.0028, 100.65
508.0, -0.0028, 100.65
509.0, -0.0028, 100.64
510.0, -0.0027, 100.63
511.0, -0.0028, 100.65
512.0, -0.0028, 100.65
513.0, -0.0029, 100.66
514.0, -0.0026, 100.61
515.0, -0.0029, 100.67
516.0, -0.0029, 100.66
517.0, -0.0027, 100.63
518.0, -0.0029, 100.68
519.0, -0.0028, 100.66
520.0, -0.0027, 100.63
521.0, -0.0028, 100.64
522.0, -0.0029, 100.68
523.0, -0.0029, 100.66
524.0, -0.0028, 100.64
525.0, -0.0029, 100.67
526.0, -0.0029, 100.68
527.0, -0.0030, 100.68
528.0, -0.0029, 100.66
529.0, -0.0030, 100.70
530.0, -0.0029, 100.67
531.0, -0.0029, 100.68
532.0, -0.0028, 100.65
533.0, -0.0029, 100.67
534.0, -0.0028, 100.64
535.0, -0.0028, 100.64
536.0, -0.0028, 100.65
537.0, -0.0028, 100.66
538.0, -0.0029, 100.67
539.0, -0.0029, 100.66
540.0, -0.0030, 100.68
541.0, -0.0029, 100.66
542.0, -0.0028, 100.64
543.0, -0.0028, 100.64
544.0, -0.0028, 100.65
545.0, -0.0028, 100.65
546.0, -0.0028, 100.64
547.0, -0.0030, 100.69
548.0, -0.0032, 100.73
549.0, -0.0033, 100.76
550.0, -0.0032, 100.75
551.0, -0.0034, 100.78
552.0, -0.0034, 100.79
553.0, -0.0036, 100.83
554.0, -0.0036, 100.82
555.0, -0.0037, 100.85
556.0, -0.0036, 100.83
557.0, -0.0036, 100.84
558.0, -0.0035, 100.81
559.0, -0.0034, 100.78
560.0, -0.0033, 100.75
561.0, -0.0031, 100.71
562.0, -0.0029, 100.66
563.0, -0.0027, 100.62
564.0, -0.0026, 100.60
565.0, -0.0024, 100.56
566.0, -0.0022, 100.50
567.0, -0.0020, 100.46
568.0, -0.0020, 100.46
569.0, -0.0020, 100.45
570.0, -0.0018, 100.40
571.0, -0.0019, 100.43
572.0, -0.0019, 100.44
573.0, -0.0019, 100.43
574.0, -0.0019, 100.44
575.0, -0.0019, 100.45
576.0, -0.0020, 100.45
577.0, -0.0021, 100.49
578.0, -0.0022, 100.50
579.0, -0.0022, 100.51
580.0, -0.0022, 100.52
581.0, -0.0023, 100.53
582.0, -0.0023, 100.52
583.0, -0.0023, 100.53
584.0, -0.0022, 100.51
585.0, -0.0019, 100.45
586.0, -0.0028, 100.64
587.0, -0.0026, 100.61
588.0, -0.0026, 100.60
589.0, -0.0025, 100.58
590.0, -0.0023, 100.52
591.0, -0.0022, 100.52
592.0, -0.0022, 100.51
593.0, -0.0022, 100.51
594.0, -0.0020, 100.45
595.0, -0.0019, 100.44
596.0, -0.0018, 100.42
597.0, -0.0016, 100.37
598.0, -0.0016, 100.37
599.0, -0.0017, 100.40
600.0, -0.0018, 100.41
601.0, -0.0017, 100.39
602.0, -0.0017, 100.39
603.0, -0.0016, 100.37
604.0, -0.0017, 100.39
605.0, -0.0017, 100.40
606.0, -0.0017, 100.39
607.0, -0.0017, 100.38
608.0, -0.0016, 100.37
609.0, -0.0016, 100.38
610.0, -0.0015, 100.35
611.0, -0.0016, 100.36
612.0, -0.0016, 100.37
613.0, -0.0016, 100.36
614.0, -0.0016, 100.37
615.0, -0.0015, 100.35
616.0, -0.0014, 100.32
617.0, -0.0015, 100.34
618.0, -0.0015, 100.34
619.0, -0.0014, 100.33
620.0, -0.0014, 100.33
621.0, -0.0015, 100.34
622.0, -0.0014, 100.31
623.0, -0.0013, 100.30
624.0, -0.0013, 100.30
625.0, -0.0013, 100.30
626.0, -0.0014, 100.31
627.0, -0.0014, 100.32
628.0, -0.0014, 100.31
629.0, -0.0012, 100.28
630.0, -0.0013, 100.30
631.0, -0.0013, 100.31
632.0, -0.0012, 100.29
633.0, -0.0013, 100.30
634.0, -0.0012, 100.28
635.0, -0.0012, 100.27
636.0, -0.0012, 100.28
637.0, -0.0011, 100.26
638.0, -0.0012, 100.27
639.0, -0.0010, 100.23
640.0, -0.0009, 100.21
641.0, -0.0010, 100.24
642.0, -0.0010, 100.23
643.0, -0.0010, 100.24
644.0, -0.0009, 100.22
645.0, -0.0009, 100.22
646.0, -0.0008, 100.19
647.0, -0.0009, 100.20
648.0, -0.0009, 100.21
649.0, -0.0009, 100.20
650.0, -0.0010, 100.23
651.0, -0.0009, 100.20
652.0, -0.0008, 100.18
653.0, -0.0008, 100.17
654.0, -0.0008, 100.18
655.0, -0.0008, 100.18
656.0, -0.0007, 100.17
657.0, -0.0008, 100.18
658.0, -0.0007, 100.17
659.0, -0.0008, 100.18
660.0, -0.0007, 100.15
661.0, -0.0006, 100.14
662.0, -0.0006, 100.14
663.0, -0.0008, 100.18
664.0, -0.0007, 100.15
665.0, -0.0006, 100.14
666.0, -0.0006, 100.14
667.0, -0.0006, 100.15
668.0, -0.0007, 100.16
669.0, -0.0006, 100.14
670.0, -0.0006, 100.15
671.0, -0.0007, 100.17
672.0, -0.0008, 100.18
673.0, -0.0008, 100.19
674.0, -0.0008, 100.18
675.0, -0.0008, 100.18
676.0, -0.0008, 100.19
677.0, -0.0008, 100.18
678.0, -0.0009, 100.20
679.0, -0.0008, 100.18
680.0, -0.0008, 100.18
681.0, -0.0008, 100.19
682.0, -0.0008, 100.19
683.0, -0.0007, 100.17
684.0, -0.0008, 100.18
685.0, -0.0008, 100.18
686.0, -0.0007, 100.17
687.0, -0.0007, 100.16
688.0, -0.0007, 100.16
689.0, -0.0009, 100.21
690.0, -0.0010, 100.23
691.0, -0.0007, 100.17
692.0, -0.0008, 100.19
693.0, -0.0008, 100.19
694.0, -0.0009, 100.21
695.0, -0.0009, 100.21
696.0, -0.0010, 100.24
697.0, -0.0010, 100.23
698.0, -0.0010, 100.22
699.0, -0.0009, 100.22
700.0, -0.0010, 100.24
