Wetland Type;Season;Sampling point;Ferric iron;Ferrous iron;Total iron;Mn;Nitrate;Sulfate;Carbon dioxide;Methane;Humidity;pH;Eh;Csoil;CHA;CFA;13C AH;13C AF;N;P;K;ACL-Soil;ACL-HA;S/L-Soil;S/L-HA;CPI-Soil;CPI-HA;S ;K ;Ca ;Ti ;V ;Cr ;Mn ;Fe ;Ni ;Cu ;Zn ;As ;Rb ;Sr ;Zr ;Sb ;Te ;Cs ;Ba ;Pb ;Th ;CandidatusNitrososphaera0-10;CandidatusNitrososphaera10-20;Methanobacterium0-10;Methanobacterium10-20;Methanocella0-10;Methanocella10-20;Methanomassiliicoccus0-10;Methanomassiliicoccus10-20;Methermicoccus0-10;Methermicoccus10-20;Nitrosotalea0-10;Nitrosotalea10-20;Unclassified0-10;Unclassified10-20;Pedosphaerae0-10;Pedosphaerae10-20;Saprospirae0-10;Saprospirae10-20;Spartobacteria0-10;Spartobacteria10-20;Acidobacteria-60-11;Acidobacteria-710-21;Acidobacteriia0-11;Acidobacteriia10-21;Actinobacteria0-11;Actinobacteria10-21;Alphaproteobacteria0-12;Alphaproteobacteria10-22;Anaerolineae0-12;Anaerolineae10-22;Bacilli0-12;Bacilli10-22;Bacteroidia0-13;Bacteroidia10-23;Betaproteobacteria0-13;Betaproteobacteria10-23;Clostridia0-13;Clostridia10-23;DA0520-14;DA05310-24;Deltaproteobacteria0-14;Deltaproteobacteria10-24;Ellin65290-14;Ellin653010-24;Flavobacteriia0-15;Flavobacteriia10-25;Gammaproteobacteria0-15;Gammaproteobacteria10-25;Gemmatimonadetes0-15;Gemmatimonadetes10-25;Ktedonobacteria0-16;Ktedonobacteria10-26;MB-A2-1080-16;MB-A2-10910-26;Nitrospira0-16;Nitrospira10-26;Planctomycetia0-17;Planctomycetia10-27;SJA-1760-17;SJA-17710-27;Solibacteres0-17;Solibacteres10-27;Thermoleophilia0-18;Thermoleophilia10-28;TK100-18;TK1110-28;TK170-18;TK1810-28;Zetaproteobacteria0-19;Zetaproteobacteria10-29
Permanent;Rainy;P1;10,12;0,00;9,76;5,30;0;11,65;90,0;14,00;40,69;5,20;231,5;2,28;40,53;5,69;-17,09;-18,90;1897,0;16,05;1755,59;27,88;27,93;1,41;1,86;1,10;1,80;446,68;1535,03;512,03;8662,06;77,74;37,36;0;3479,24;0;0;21,32;0;6,26;9,23;292,15;0;0;9,35;70,57;14,37;9,31;0,000;0,000;0,017;0,006;0,643;0,777;0,039;0,009;0,011;0,009;0,000;0,005;0,288;0,195;0,025;0,011;0,004;0,001;0,013;0,014;0,017;0,013;0,050;0,108;0,125;0,131;0,311;0,320;0,001;0,001;0,028;0,037;0,002;0,000;0,026;0,012;0,013;0,005;0,012;0,024;0,039;0,025;0,005;0,001;0,004;0,000;0,027;0,019;0,004;0,003;0,013;0,050;0,000;0,000;0,000;0,002;0,016;0,005;0,002;0,000;0,029;0,039;0,077;0,046;0,008;0,011;0,002;0,002;0,012;0,006
Permanent;Rainy;P2;25,00;0,00;25,00;7,70;0;11,75;49,0;15,00;49,13;5,82;217,0;5,08;42,04;10,37;-18,05;-19,24;4235,0;19,35;1571,82;27,78;28,31;1,22;3,86;1,38;1,46;669,82;3882,17;2259,9;6912,83;93,78;0;80,18;9086,01;0;29,53;39,58;8,17;22,81;23,24;300,54;0;0;0;0;15,11;10,26;0,000;0,000;0,003;0,008;0,668;0,650;0,028;0,008;0,009;0,010;0,002;0,014;0,290;0,309;0,053;0,023;0,019;0,007;0,014;0,005;0,024;0,007;0,036;0,046;0,090;0,160;0,250;0,304;0,002;0,001;0,021;0,043;0,004;0,001;0,041;0,025;0,009;0,012;0,015;0,014;0,044;0,026;0,003;0,001;0,005;0,002;0,039;0,033;0,005;0,003;0,046;0,064;0,000;0,000;0,001;0,001;0,004;0,002;0,002;0,000;0,045;0,037;0,050;0,061;0,010;0,008;0,005;0,004;0,002;0,002
Permanent;Rainy;P3;17,00;0,00;17,01;10,35;0;10,20;459,0;854,00;42,40;5,86;244,5;1,17;40,70;5,05;-17,14;-18,94;1043,0;11,45;864,11;31,20;29,08;0,69;1,99;2,57;2,13;0;4643,25;939,48;3722,88;61,83;0;113,37;6518,01;24,48;0;16,29;7,01;15,44;11,21;132,55;14,95;33,59;16,65;117,96;0;0;0,008;0,016;0,016;0,044;0,435;0,193;0,052;0,032;0,053;0,006;0,000;0,091;0,437;0,619;0,034;0,008;0,013;0,019;0,011;0,005;0,016;0,011;0,058;0,033;0,108;0,096;0,207;0,414;0,002;0,001;0,037;0,045;0,003;0,002;0,029;0,033;0,025;0,022;0,018;0,009;0,051;0,032;0,003;0,001;0,004;0,002;0,038;0,059;0,004;0,002;0,040;0,020;0,000;0,000;0,003;0,002;0,008;0,001;0,006;0,000;0,034;0,023;0,066;0,033;0,009;0,011;0,007;0,003;0,002;0,001
Permanent;Dry;P1;12,69;0,00;12,50;8,20;0;13,75;390,0;0,88;36,25;5,20;294,5;2,09;37,79;10,85;-17,46;-19,29;2103,5;11,05;1104,575;27,93;27,08;0,76;0,48;1,20;0,95;402,94;1327,85;386,13;8104,22;99,85;0;0;3069,19;0;0;21,06;0;5,25;9,15;226,58;0;0;0;0;12,83;8,54;0,022;;0,006;;0,584;;0,050;;0,000;;0,008;;0,330;;0,040;0,000;0,008;0,000;0,010;0,000;0,011;0,000;0,063;0,000;0,107;0,000;0,283;0,000;0,007;0,000;0,049;0,000;0,003;0,000;0,019;0,000;0,025;0,000;0,018;0,000;0,039;0,000;0,005;0,000;0,004;0,000;0,029;0,000;0,002;0,000;0,038;0,000;0,000;0,000;0,000;0,000;0,016;0,000;0,002;0,000;0,026;0,000;0,049;0,000;0,007;0,000;0,003;0,000;0,006;0,000
Permanent;Dry;P2;18,95;0,00;18,80;12,00;0;15,90;210,0;10,00;41,75;5,69;186,5;3,75;17,02;10,49;-19,71;-19,86;3853,5;13,45;1073,295;27,23;28,31;1,30;0,87;1,15;1,63;436,13;3128,3;1188,3;8517,37;121,95;0;63,87;6143,12;0;27,3;25,64;0;12,05;14,18;244,35;0;0;11,68;86,83;15,06;8,79;0,000;0,000;0,100;0,007;0,395;0,554;0,139;0,043;0,007;0,029;0,000;0,026;0,359;0,341;0,014;0,024;0,016;0,008;0,002;0,004;0,005;0,009;0,035;0,053;0,097;0,142;0,306;0,308;0,003;0,000;0,059;0,046;0,003;0,001;0,049;0,021;0,028;0,016;0,006;0,011;0,059;0,023;0,002;0,002;0,004;0,002;0,067;0,035;0,009;0,005;0,020;0,091;0,000;0,000;0,000;0,001;0,001;0,007;0,001;0,002;0,040;0,026;0,051;0,042;0,009;0,007;0,002;0,003;0,003;0,001
Permanent;Dry;P3;22,27;0,00;22,17;3,50;0;13,20;208,0;1,20;51,01;5,07;265,5;2,49;13,59;12,82;-19,24;-19,12;2579,5;8,8;1239,47;28,76;27,93;1,75;1,64;1,55;1,57;388,49;1589,98;467,64;8858,12;103,79;49,01;0;5438,14;0;25,33;21,36;0;6,29;9,45;236,34;0;0;0;58,51;16,59;8,96;0,000;0,000;0,039;0,019;0,469;0,542;0,076;0,021;0,009;0,004;0,022;0,031;0,384;0,383;0,007;0,010;0,011;0,010;0,003;0,003;0,021;0,016;0,046;0,048;0,097;0,121;0,328;0,338;0,002;0,001;0,035;0,038;0,002;0,001;0,030;0,025;0,018;0,014;0,034;0,023;0,031;0,030;0,003;0,002;0,005;0,001;0,041;0,044;0,004;0,002;0,035;0,043;0,000;0,000;0,002;0,002;0,005;0,009;0,001;0,001;0,039;0,031;0,045;0,034;0,009;0,011;0,006;0,004;0,001;0,001
Seasonal;Rainy;P1;55,01;0,93;55,94;19,70;0;21,25;178,0;0,38;37,86;5,05;290,5;2,64;39,28;9,56;-20,94;-21,65;2782,5;27,95;1069,385;30,84;30,11;0,39;0,49;1,95;1,06;0;901,55;573,98;41636,54;715,97;0;859,72;110362,22;62,52;108,73;85,17;11,76;6,22;15,55;600,72;19,1;53,06;39,76;247,41;19,61;0;0,105;0,012;0,009;0,000;0,288;0,074;0,046;0,000;0,000;0,000;0,001;0,016;0,547;0,896;0,010;0,005;0,009;0,000;0,002;0,004;0,009;0,017;0,022;0,076;0,158;0,128;0,263;0,231;0,007;0,004;0,017;0,036;0,004;0,000;0,043;0,007;0,021;0,015;0,000;0,003;0,065;0,045;0,003;0,001;0,003;0,000;0,021;0,007;0,003;0,002;0,087;0,091;0,001;0,002;0,002;0,005;0,000;0,003;0,001;0,001;0,033;0,033;0,070;0,059;0,024;0,020;0,001;0,000;0,008;0,019
Seasonal;Rainy;P2;55,61;0,32;55,93;10,25;0;18,65;148,0;0,19;33,82;4,69;310,5;2,64;40,24;8,20;-20,20;-20,78;2723,0;37,2;1069,385;25,00;30,21;21,15;0,23;0,01;0,98;0;915,9;591,68;45708,63;792,13;0;570,68;62613,14;0;123,85;90,49;10,47;7,1;15,41;675,18;0;0;24,01;203,03;23,91;9,85;0,012;0,000;0,018;0,001;0,459;0,241;0,007;0,011;0,000;0,000;0,003;0,022;0,501;0,726;0,019;0,006;0,001;0,000;0,002;0,001;0,019;0,011;0,073;0,063;0,142;0,134;0,197;0,192;0,006;0,007;0,016;0,024;0,001;0,000;0,012;0,006;0,012;0,006;0,004;0,005;0,039;0,054;0,002;0,001;0,000;0,000;0,011;0,006;0,002;0,001;0,153;0,111;0,000;0,000;0,004;0,008;0,003;0,002;0,001;0,000;0,043;0,045;0,053;0,037;0,024;0,013;0,002;0,001;0,005;0,008
Seasonal;Rainy;P3;54,91;0,90;55,81;17,85;4,76;16,20;0,0;0,00;33,50;5,65;271,0;3,70;39,96;7,17;-17,02;-20,09;3192,0;70,45;5108,415;26,33;29,38;7,10;1,84;1,56;1,09;0;1495,99;1519,95;48958,54;766,97;0;732,58;67078,95;0;107,49;89,72;0;8,03;19,59;701,97;0;33,06;27,22;168,72;25,66;8,91;0,008;0,005;0,000;0,018;0,458;0,411;0,018;0,025;0,000;0,000;0,000;0,005;0,515;0,537;0,024;0,023;0,004;0,004;0,021;0,024;0,027;0,025;0,034;0,033;0,148;0,107;0,216;0,223;0,003;0,003;0,019;0,019;0,001;0,001;0,025;0,023;0,009;0,009;0,002;0,002;0,053;0,045;0,006;0,005;0,004;0,005;0,017;0,016;0,004;0,003;0,053;0,130;0,005;0,007;0,005;0,005;0,007;0,000;0,000;0,000;0,026;0,025;0,109;0,082;0,016;0,010;0,003;0,003;0,010;0,014
Seasonal;Dry;P1;52,55;2,02;54,56;10,60;3,44;55,80;385,0;0,00;32,87;4,79;364,0;2,31;16,01;14,01;-20,21;-22,25;2352,0;25,5;1157,36;31,27;28,31;0,58;1,15;1,75;1,45;0;916,14;394,5;36949,38;664,64;0;618,36;101049,16;62,69;124,78;84,42;9,54;0;14,93;591,02;17,54;40,04;33,71;205,56;23,41;0;;0,000;;0,005;;0,278;;0,000;;0,000;;0,032;;0,685;;0,004;;0,000;;0,001;;0,010;;0,067;;0,133;;0,133;;0,007;;0,016;;0,000;;0,006;;0,006;;0,011;;0,060;;0,002;;0,000;;0,010;;0,003;;0,164;;0,000;;0,011;;0,003;;0,000;;0,027;;0,047;;0,017;;0,001;;0,009
Seasonal;Dry;P2;54,01;1,77;55,78;18,40;4,69;11,95;420,0;0,00;32,58;5,65;325,5;2,30;32,10;11,86;-17,47;-21,23;2282,0;40,2;6126,97;7,46;0,01;4,33;0,01;0,90;0,10;0;1344,11;880,4;46799,18;718,02;0;643,62;76355,29;41,87;110,56;78,25;12,42;7,78;16,65;654,32;0;36,13;31,95;216,61;23,05;0;0,008;0,002;0,012;0,009;0,425;0,251;0,025;0,008;0,000;0,000;0,023;0,021;0,506;0,707;0,012;0,006;0,009;0,004;0,008;0,004;0,038;0,018;0,048;0,038;0,123;0,098;0,244;0,242;0,004;0,006;0,032;0,037;0,001;0,000;0,033;0,024;0,011;0,012;0,003;0,002;0,056;0,070;0,007;0,003;0,005;0,001;0,026;0,016;0,005;0,003;0,029;0,059;0,003;0,002;0,006;0,015;0,007;0,002;0,000;0,000;0,038;0,044;0,060;0,079;0,011;0,015;0,003;0,003;0,015;0,019
Seasonal;Dry;P3;53,71;1,54;55,25;9,20;2,60;27,75;399,0;0,00;27,46;4,84;364,0;2,01;26,99;13,84;-18,68;-18,94;2254,0;23,3;1720,4;27,22;6,23;1,38;1,11;1,38;0;904,2;370,74;42771,58;771,58;0;441,87;70933,55;56,42;120,31;83,25;9,72;5,78;14,19;645,88;0;0;21,67;153,64;21,04;8,62;;0,040;0,000;0,026;0,000;0,301;0,165;0,014;0,046;0,000;0,000;0,002;0,000;0,615;0,768;0,024;0,003;0,004;0,000;0,006;0,002;0,010;0,019;0,051;0,084;0,090;0,100;0,194;0,225;0,005;0,011;0,015;0,019;0,001;0,000;0,015;0,009;0,011;0,007;0,004;0,012;0,040;0,043;0,003;0,001;0,001;0,000;0,019;0,011;0,001;0,001;0,258;0,044;0,000;0,000;0,004;0,013;0,001;0,003;0,002;0,000;0,040;0,045;0,034;0,028;0,019;0,017;0,003;0,002;0,006;0,003