ID;matriz;tipo;coleta;estacao;amostra;replicata;carboxílicos;fenolicos;total;aromaticidade
PB a 1ª coleta AF;AF;Permanente;1;chuvosa;PB;a;15,4;7,2;22,6;31,86
PB b 1ª coleta AF;AF;Permanente;1;chuvosa;PB;b;16,8;7,2;24;30
PB a 2ª coleta AF;AF;Permanente;2;seca;PB;a;12,6;6;18,6;32,26
PB b 2ª coleta AF;AF;Permanente;2;seca;PB;b;11,6;4,8;16,4;29,27
PB a 3ª coleta AF;AF;Permanente;3;seca;PB;a;10,8;6;16,8;35,71
PB b 3ª coleta AF;AF;Permanente;3;seca;PB;b;10,2;5,6;15,8;35,44
PB a 4ª coleta AF;AF;Permanente;4;chuvosa;PB;a;6,4;3,2;9,6;33,33
PB b 4ª coleta AF;AF;Permanente;4;chuvosa;PB;b;6,2;3,2;9,4;34,04
PB a 5ª coleta AF;AF;Permanente;5;seca;PB;a;6,8;4;10,8;37,04
PB b 5ª coleta AF;AF;Permanente;5;seca;PB;b;6,8;3,6;10,4;34,62
PB a 6ª coleta AF;AF;Permanente;6;chuvosa;PB;a;3,8;1,6;5,4;29,63
PB b 6ª coleta AF;AF;Permanente;6;chuvosa;PB;b;4,7;2,2;6,9;31,88
PM a 1ª coleta AF;AF;Permanente;1;chuvosa;PM;a;7,2;4;11,2;35,71
PM b 1ª coleta AF;AF;Permanente;1;chuvosa;PM;b;7,4;4;11,4;35,09
PM a 2ª coleta AF;AF;Permanente;2;seca;PM;a;5,8;2,8;8,6;32,56
PM b 2ª coleta AF;AF;Permanente;2;seca;PM;b;6,2;3,2;9,4;34,04
PM a 3ª coleta AF;AF;Permanente;3;seca;PM;a;6,4;2,8;9,2;30,43
PM b 3ª coleta AF;AF;Permanente;3;seca;PM;b;6,8;2,8;9,6;29,17
PM a 4ª coleta AF;AF;Permanente;4;chuvosa;PM;a;7,4;2,4;9,8;24,49
PM b 4ª coleta AF;AF;Permanente;4;chuvosa;PM;b;6,6;2,4;9;26,67
PM a 5ª coleta AF;AF;Permanente;5;seca;PM;a;6,3;2,6;8,9;29,21
PM b 5ª coleta AF;AF;Permanente;5;seca;PM;b;5,9;3;8,9;33,71
PM a 6ª coleta AF;AF;Permanente;6;chuvosa;PM;a;4,4;2;6,4;31,25
PM b 6ª coleta AF;AF;Permanente;6;chuvosa;PM;b;4,4;2;6,4;31,25
PC a 1ª coleta AF;AF;Permanente;1;chuvosa;PC;a;9,1;4,6;13,7;33,58
PC b 1ª coleta AF;AF;Permanente;1;chuvosa;PC;b;6,8;3,6;10,4;34,62
PC a 2ª coleta AF;AF;Permanente;2;seca;PC;a;6,1;2,6;8,7;29,89
PC b 2ª coleta AF;AF;Permanente;2;seca;PC;b;6,6;2,4;9;26,67
PC a 3ª coleta AF;AF;Permanente;3;seca;PC;a;7,1;2,6;9,7;26,8
PC b 3ª coleta AF;AF;Permanente;3;seca;PC;b;7,1;3;10,1;29,7
PC a 4ª coleta AF;AF;Permanente;4;chuvosa;PC;a;7,2;3,6;10,8;33,33
PC b 4ª coleta AF;AF;Permanente;4;chuvosa;PC;b;8,4;4;12,4;32,26
PC a 5ª coleta AF;AF;Permanente;5;seca;PC;a;8,6;4,8;13,4;35,82
PC b 5ª coleta AF;AF;Permanente;5;seca;PC;b;7,8;4,4;12,2;36,07
PC a 6ª coleta AF;AF;Permanente;6;chuvosa;PC;a;5,1;2,2;7,3;30,14
PC b 6ª coleta AF;AF;Permanente;6;chuvosa;PC;b;6;2,8;8,8;31,82
SB a 1ª coleta AF;AF;Sazonal;1;chuvosa;SB;a;7,8;4;11,8;33,9
SB b 1ª coleta AF;AF;Sazonal;1;chuvosa;SB;b;8,6;4;12,6;31,75
SB a 2ª coleta AF;AF;Sazonal;2;seca;SB;a;6,9;3;9,9;30,3
SB b 2ª coleta AF;AF;Sazonal;2;seca;SB;b;7;3,2;10,2;31,37
SB a 3ª coleta AF;AF;Sazonal;3;seca;SB;a;6,5;3,4;9,9;34,34
SB b 3ª coleta AF;AF;Sazonal;3;seca;SB;b;6,5;3,8;10,3;36,89
SB a 4ª coleta AF;AF;Sazonal;4;chuvosa;SB;a;9,4;4;13,4;29,85
SB b 4ª coleta AF;AF;Sazonal;4;chuvosa;SB;b;9;4;13;30,77
SB a 5ª coleta AF;AF;Sazonal;5;seca;SB;a;7,8;3,2;11;29,09
SB b 5ª coleta AF;AF;Sazonal;5;seca;SB;b;8;3,2;11,2;28,57
SB a 6ª coleta AF;AF;Sazonal;6;chuvosa;SB;a;8;4,4;12,4;35,48
SB b 6ª coleta AF;AF;Sazonal;6;chuvosa;SB;b;7,7;4,2;11,9;35,29
SM a 1ª coleta AF;AF;Sazonal;1;chuvosa;SM;a;5,9;2,6;8,5;30,59
SM b 1ª coleta AF;AF;Sazonal;1;chuvosa;SM;b;5,8;2,8;8,6;32,56
SM a 2ª coleta AF;AF;Sazonal;2;seca;SM;a;6,6;2,4;9;26,67
SM b 2ª coleta AF;AF;Sazonal;2;seca;SM;b;6,8;2,4;9,2;26,09
SM a 3ª coleta AF;AF;Sazonal;3;seca;SM;a;7,2;2,8;10;28
SM b 3ª coleta AF;AF;Sazonal;3;seca;SM;b;8;2,8;10,8;25,93
SM a 4ª coleta AF;AF;Sazonal;4;chuvosa;SM;a;7,9;2,6;10,5;24,76
SM b 4ª coleta AF;AF;Sazonal;4;chuvosa;SM;b;7,6;2,4;10;24
SM a 5ª coleta AF;AF;Sazonal;5;seca;SM;a;9,1;3,4;12,5;27,2
SM b 5ª coleta AF;AF;Sazonal;5;seca;SM;b;9,8;3,6;13,4;26,87
SM a 6ª coleta AF;AF;Sazonal;6;chuvosa;SM;a;8;4,4;12,4;35,48
SM b 6ª coleta AF;AF;Sazonal;6;chuvosa;SM;b;7,8;4,4;12,2;36,07
SC a 1ª coleta AF;AF;Sazonal;1;chuvosa;SC;a;6,6;2,8;9,4;29,79
SC b 1ª coleta AF;AF;Sazonal;1;chuvosa;SC;b;6,2;2,4;8,6;27,91
SC a 2ª coleta AF;AF;Sazonal;2;seca;SC;a;6,7;2,2;8,9;24,72
SC b 2ª coleta AF;AF;Sazonal;2;seca;SC;b;6,9;2,2;9,1;24,18
SC a 3ª coleta AF;AF;Sazonal;3;seca;SC;a;6;2,4;8,4;28,57
SC b 3ª coleta AF;AF;Sazonal;3;seca;SC;b;6,4;2,4;8,8;27,27
SC a 4ª coleta AF;AF;Sazonal;4;chuvosa;SC;a;7;3,2;10,2;31,37
SC b 4ª coleta AF;AF;Sazonal;4;chuvosa;SC;b;7,2;2,4;9,6;25
SC a 5ª coleta AF;AF;Sazonal;5;seca;SC;a;6,3;3;9,3;32,26
SC b 5ª coleta AF;AF;Sazonal;5;seca;SC;b;7,2;3,6;10,8;33,33
SC a 6ª coleta AF;AF;Sazonal;6;chuvosa;SC;a;8;4,4;12,4;35,48
SC b 6ª coleta AF;AF;Sazonal;6;chuvosa;SC;b;7,4;4;11,4;35,09
PB a 1ª coleta AH;AH;Permanente;1;chuvosa;PB;a;3,4;2;5,4;37,04
PB b 1ª coleta AH;AH;Permanente;1;chuvosa;PB;b;3,7;2,2;5,9;37,29
PB a 2ª coleta AH;AH;Permanente;2;seca;PB;a;3,2;2;5,2;38,46
PB b 2ª coleta AH;AH;Permanente;2;seca;PB;b;3,8;2,4;6,2;38,71
PB a 3ª coleta AH;AH;Permanente;3;seca;PB;a;3,5;2,2;5,7;38,6
PB b 3ª coleta AH;AH;Permanente;3;seca;PB;b;3,4;2;5,4;37,04
PB a 4ª coleta AH;AH;Permanente;4;chuvosa;PB;a;3,8;2,4;6,2;38,71
PB b 4ª coleta AH;AH;Permanente;4;chuvosa;PB;b;3,5;2,2;5,7;38,6
PB a 5ª coleta AH;AH;Permanente;5;seca;PB;a;3,7;2,2;5,9;37,29
PB b 5ª coleta AH;AH;Permanente;5;seca;PB;b;3,9;2,2;6,1;36,07
PB a 6ª coleta AH;AH;Permanente;6;chuvosa;PB;a;3,7;2,6;6,3;41,27
PB b 6ª coleta AH;AH;Permanente;6;chuvosa;PB;b;4,4;2,8;7,2;38,89
PM a 1ª coleta AH;AH;Permanente;1;chuvosa;PM;a;3,8;2,4;6,2;38,71
PM b 1ª coleta AH;AH;Permanente;1;chuvosa;PM;b;3,6;2,4;6;40
PM a 2ª coleta AH;AH;Permanente;2;seca;PM;a;3,6;2,4;6;40
PM b 2ª coleta AH;AH;Permanente;2;seca;PM;b;3,9;2,6;6,5;40
PM a 3ª coleta AH;AH;Permanente;3;seca;PM;a;3,7;2,6;6,3;41,27
PM b 3ª coleta AH;AH;Permanente;3;seca;PM;b;3,9;2,6;6,5;40
PM a 4ª coleta AH;AH;Permanente;4;chuvosa;PM;a;4,4;2,8;7,2;38,89
PM b 4ª coleta AH;AH;Permanente;4;chuvosa;PM;b;4,4;2,8;7,2;38,89
PM a 5ª coleta AH;AH;Permanente;5;seca;PM;a;4;2,4;6,4;37,5
PM b 5ª coleta AH;AH;Permanente;5;seca;PM;b;3,8;2,4;6,2;38,71
PM a 6ª coleta AH;AH;Permanente;6;chuvosa;PM;a;4;2,8;6,8;41,18
PM b 6ª coleta AH;AH;Permanente;6;chuvosa;PM;b;4,2;2,8;7;40
PC a 1ª coleta AH;AH;Permanente;1;chuvosa;PC;a;4,3;2,6;6,9;37,68
PC b 1ª coleta AH;AH;Permanente;1;chuvosa;PC;b;4,2;2,8;7;40
PC a 2ª coleta AH;AH;Permanente;2;seca;PC;a;5,4;3,2;8,6;37,21
PC b 2ª coleta AH;AH;Permanente;2;seca;PC;b;5,6;3,6;9,2;39,13
PC a 3ª coleta AH;AH;Permanente;3;seca;PC;a;5;3,2;8,2;39,02
PC b 3ª coleta AH;AH;Permanente;3;seca;PC;b;4,5;3;7,5;40
PC a 4ª coleta AH;AH;Permanente;4;chuvosa;PC;a;4,5;2,6;7,1;36,62
PC b 4ª coleta AH;AH;Permanente;4;chuvosa;PC;b;4,4;2,4;6,8;35,29
PC a 5ª coleta AH;AH;Permanente;5;seca;PC;a;3,5;1,8;5,3;33,96
PC b 5ª coleta AH;AH;Permanente;5;seca;PC;b;3,4;2;5,4;37,04
PC a 6ª coleta AH;AH;Permanente;6;chuvosa;PC;a;4,4;2;6,4;31,25
PC b 6ª coleta AH;AH;Permanente;6;chuvosa;PC;b;4,8;2;6,8;29,41
SB a 1ª coleta AH;AH;Sazonal;1;chuvosa;SB;a;5;3,2;8,2;39,02
SB b 1ª coleta AH;AH;Sazonal;1;chuvosa;SB;b;5;3,2;8,2;39,02
SB a 2ª coleta AH;AH;Sazonal;2;seca;SB;a;5,2;3,2;8,4;38,1
SB b 2ª coleta AH;AH;Sazonal;2;seca;SB;b;5,1;3;8,1;37,04
SB a 3ª coleta AH;AH;Sazonal;3;seca;SB;a;4,9;3;7,9;37,97
SB b 3ª coleta AH;AH;Sazonal;3;seca;SB;b;4,7;3;7,7;38,96
SB a 4ª coleta AH;AH;Sazonal;4;chuvosa;SB;a;4,6;2,8;7,4;37,84
SB b 4ª coleta AH;AH;Sazonal;4;chuvosa;SB;b;5,4;3,2;8,6;37,21
SB a 5ª coleta AH;AH;Sazonal;5;seca;SB;a;5,2;3,2;8,4;38,1
SB b 5ª coleta AH;AH;Sazonal;5;seca;SB;b;5,2;3,2;8,4;38,1
SB a 6ª coleta AH;AH;Sazonal;6;chuvosa;SB;a;5;2,4;7,4;32,43
SB b 6ª coleta AH;AH;Sazonal;6;chuvosa;SB;b;5,2;2,4;7,6;31,58
SM a 1ª coleta AH;AH;Sazonal;1;chuvosa;SM;a;4,4;3,2;7,6;42,11
SM b 1ª coleta AH;AH;Sazonal;1;chuvosa;SM;b;4,2;3,2;7,4;43,24
SM a 2ª coleta AH;AH;Sazonal;2;seca;SM;a;4,6;3,2;7,8;41,03
SM b 2ª coleta AH;AH;Sazonal;2;seca;SM;b;4,4;3,2;7,6;42,11
SM a 3ª coleta AH;AH;Sazonal;3;seca;SM;a;4,9;3,8;8,7;43,68
SM b 3ª coleta AH;AH;Sazonal;3;seca;SM;b;4,8;4;8,8;45,45
SM a 4ª coleta AH;AH;Sazonal;4;chuvosa;SM;a;4,5;3,4;7,9;43,04
SM b 4ª coleta AH;AH;Sazonal;4;chuvosa;SM;b;4,5;3,4;7,9;43,04
SM a 5ª coleta AH;AH;Sazonal;5;seca;SM;a;5,2;3,6;8,8;40,91
SM b 5ª coleta AH;AH;Sazonal;5;seca;SM;b;5;3,6;8,6;41,86
SM a 6ª coleta AH;AH;Sazonal;6;chuvosa;SM;a;3,9;1,4;5,3;26,42
SM b 6ª coleta AH;AH;Sazonal;6;chuvosa;SM;b;3,7;1,4;5,1;27,45
SC a 1ª coleta AH;AH;Sazonal;1;chuvosa;SC;a;3,7;2,6;6,3;41,27
SC b 1ª coleta AH;AH;Sazonal;1;chuvosa;SC;b;4;2,8;6,8;41,18
SC a 2ª coleta AH;AH;Sazonal;2;seca;SC;a;4;2,8;6,8;41,18
SC b 2ª coleta AH;AH;Sazonal;2;seca;SC;b;3,5;2,6;6,1;42,62
SC a 3ª coleta AH;AH;Sazonal;3;seca;SC;a;3,7;2,6;6,3;41,27
SC b 3ª coleta AH;AH;Sazonal;3;seca;SC;b;3,6;2,8;6,4;43,75
SC a 4ª coleta AH;AH;Sazonal;4;chuvosa;SC;a;3,4;2,8;6,2;45,16
SC b 4ª coleta AH;AH;Sazonal;4;chuvosa;SC;b;3,4;3,2;6,6;48,48
SC a 5ª coleta AH;AH;Sazonal;5;seca;SC;a;4;2,4;6,4;37,5
SC b 5ª coleta AH;AH;Sazonal;5;seca;SC;b;4,5;2,6;7,1;36,62
SC a 6ª coleta AH;AH;Sazonal;6;chuvosa;SC;a;4,6;2,8;7,4;37,84
SC b 6ª coleta AH;AH;Sazonal;6;chuvosa;SC;b;5,2;3,2;8,4;38,1